City,Latitude,Longitude,Temperature,Humidity (%),Wind Speed (mph),Cloudiness (%),Country
Nemuro,43.32,145.57,69.8,68,9.17,20,JP
Bjerkvik,68.56,17.52,55.04,87,6.93,99,NO
Baft,29.23,56.61,72.16,31,4.9,86,IR
Elliot Lake,46.38,-82.63,60.17,91,4.88,27,CA
Oyonnax,46.26,5.66,61.02,68,2.24,90,FR
Nioro,13.35,-15.75,75.61,91,4.81,78,GM
Santa Marta,11.24,-74.2,75.99,88,13.51,14,CO
Verkhoyansk,67.54,133.38,55.27,46,4.05,98,RU
Arrondissement de Saint-Jean-de-Maurienne,45.17,6.58,51.01,95,5.88,93,FR
Lapi,17.72,121.9,92.16,54,3.36,64,PH
Cayenne,4.93,-52.33,75.2,100,8.9,100,GF
Emba,48.83,58.14,86.14,26,8.12,0,KZ
Sovetskiy,61.36,63.58,77.36,70,2.91,47,RU
Ust-Kuyga,70.02,135.6,58.84,47,12.08,16,RU
Mopipi,-21.18,24.88,39.94,83,8.68,0,BW
Kazanskaya,45.41,40.44,66.56,76,2.8,100,RU
Westport,41.14,-73.36,67.23,64,11.41,1,US
Tottori-shi,35.5,134.23,77.0,83,10.29,75,JP
Shuangcheng,45.35,126.28,86.0,66,11.18,2,CN
Wamba,8.93,8.6,69.33,95,2.35,99,NG
Hoi An,15.88,108.33,93.2,56,2.24,62,VN
Kiryat Gat,31.61,34.76,71.31,69,3.4,1,IL
Nabari,34.62,136.08,75.52,94,4.7,75,JP
Linda,39.13,-121.55,87.39,40,14.99,1,US
Aberdeen,57.14,-2.1,59.0,93,6.93,100,GB
Iquitos,-3.75,-73.25,72.43,92,2.17,56,PE
Roald,62.58,6.13,60.93,72,8.05,100,NO
Grand Gaube,-20.01,57.66,66.99,81,5.01,0,MU
Pyaozerskiy,65.83,31.17,51.89,59,2.59,0,RU
Chico,39.73,-121.84,91.38,30,14.99,20,US
Guanaja,16.4,-85.9,82.29,83,9.84,33,HN
Jasper,37.2,-94.35,81.21,74,3.36,20,US
Tessalit,20.2,1.01,86.9,30,6.62,0,ML
Siddāpur,14.33,74.88,71.71,95,10.89,100,IN
High Rock,26.62,-78.28,83.23,76,15.75,0,BS
Resistencia,-27.46,-58.98,56.88,87,6.93,79,AR
Salou,41.08,1.14,71.76,77,2.24,100,ES
Tiznit Province,29.58,-9.5,82.2,36,2.95,92,MA
Blagoyevo,63.37,47.92,56.07,86,3.94,13,RU
Nishihara,26.18,127.76,77.95,88,10.29,90,JP
Bouna,9.27,-3.0,69.51,97,3.24,20,CI
Tromsø,69.65,18.96,53.6,87,19.46,95,NO
Linxia Chengguanzhen,35.6,103.21,73.74,50,3.65,0,CN
Tilichiki,60.47,166.1,52.3,100,2.1,100,RU
Saint-Leu,-21.15,55.28,57.52,82,5.82,75,RE
Imbituba,-28.24,-48.67,57.2,100,6.93,75,BR
Tobermory,45.25,-81.67,62.01,92,6.89,0,CA
Bilma,18.69,12.92,83.52,41,2.24,8,NE
Salmās,38.2,44.77,60.8,77,6.93,20,IR
Palo Alto,37.44,-122.14,67.26,74,4.72,2,US
Kjøllefjord,70.95,27.35,53.6,87,1.12,98,NO
Laas,46.62,10.7,50.0,100,4.7,90,IT
Kupang,-10.17,123.58,89.6,38,13.87,20,ID
Sola,-13.88,167.55,80.74,79,8.59,64,VU
Moussoro,13.64,16.49,80.17,68,12.64,100,TD
Merritt,50.11,-120.79,77.0,41,10.29,90,CA
Kiama,-34.68,150.87,59.74,70,3.0,43,AU
San Patricio,19.22,-104.7,82.4,74,3.2,75,MX
Cosío,22.35,-102.3,70.18,47,11.25,69,MX
Tanete,-3.94,119.78,87.55,58,9.57,24,ID
Baykit,61.67,96.37,54.79,70,13.18,99,RU
Caravelas,-17.71,-39.25,70.75,77,8.41,19,BR
Cachoeira,-12.62,-38.96,67.3,93,2.62,15,BR
San Cristobal,7.77,-72.22,64.78,91,3.49,26,VE
Shingū,33.73,135.98,73.4,94,3.36,75,JP
Auchi,7.07,6.27,70.47,99,1.45,100,NG
Antalaha,-14.9,50.28,68.92,84,10.45,22,MG
Qaqortoq,60.72,-46.03,55.4,35,8.05,5,GL
Sabang,5.89,95.32,83.28,77,6.04,17,ID
Acaraú,-2.89,-40.12,77.25,83,13.65,0,BR
Cururupu,-1.83,-44.87,73.45,95,2.26,0,BR
Stornoway,58.21,-6.39,53.76,81,4.7,100,GB
Innisfail,-17.53,146.03,70.81,57,6.17,15,AU
Upington,-28.45,21.26,43.83,52,7.76,0,ZA
Pangoa,-12.12,-73.0,68.13,96,2.19,97,PE
Chichi,7.27,8.93,71.01,93,11.39,100,NG
Tumaco,1.8,-78.82,77.61,86,3.47,99,CO
Dhidhdhoo,6.88,73.1,84.24,75,12.53,98,MV
Nome,64.5,-165.41,58.66,67,11.41,90,US
Stjørdalshalsen,63.47,10.93,56.5,93,2.24,100,NO
Altamont,42.21,-121.74,81.3,23,16.11,1,US
Galich,58.38,42.35,56.35,96,6.85,99,RU
Richards Bay,-28.78,32.04,51.89,69,3.44,0,ZA
Shenjiamen,29.96,122.3,75.96,88,12.33,83,CN
Suez,29.97,32.53,67.86,81,4.41,0,EG
Strezhevoy,60.73,77.59,60.8,72,6.71,0,RU
Doha,25.29,51.53,92.57,63,4.7,0,QA
Sakata,38.92,139.85,75.2,69,16.11,75,JP
Daokou,35.56,114.51,84.0,61,10.92,100,CN
Flagstaff,35.2,-111.65,65.25,55,6.93,75,US
Guarapari,-20.67,-40.5,66.09,88,3.36,40,BR
Vardø,70.37,31.11,57.2,76,8.05,99,NO
Bolshoye Nagatkino,54.52,47.97,60.8,77,4.47,0,RU
Diré,12.28,-10.97,72.54,95,1.01,100,ML
The Pas,53.83,-101.25,68.0,56,8.05,1,CA
Pasni,25.26,63.47,85.66,81,9.24,92,PK
